created_at, text
1/25/2016 22:02:50, Cruz going down fast in recent dropping like a Lies never 
1/25/2016 22:00:38, Ted Cruz is a nervous He is making reckless charges not caring for the His poll are way 
1/25/2016 13:32:20, POLL Thank Fox News Poll Thank you New New Fox News Poll Thank you
1/23/2016 15:07:04, Ted Cruz poll numbers are down Because he was born in Canada and was until recently a Canadian citizen many believe he cannot 
1/22/2016 23:58:14, Ted Cruz went down big in just released Reuters poll whats going Is it Goldman loans or 
1/22/2016 23:40:41, Just received the new Fox you 
1/22/2016 23:08:31, New National Zogby Poll just CRUZ RUBIO Big 
1/22/2016 22:56:54, Leaving Nevada now for Things are looking good great new 
1/22/2016 22:05:15, New National GOP Zogby Poll 
1/22/2016 21:06:37, New Reuters Thank 
1/22/2016 15:42:18, After spending million is at the bottom of the barrel in He is ashamed to use the name Bush in Low energy 
1/22/2016 14:10:54, Trump has more support in Florida than Rubio and Bush 
1/20/2016 23:42:28, New New Hampshire poll just Thank 
1/19/2016 16:19:49, In the just released SC poll I increased my lead by points since last poll by same Up by Cruz dropped 
1/19/2016 15:04:29, On my way to just received new national poll Thank 
1/19/2016 12:50:01, Wow new polls just out have Trump up and Cruz down he is a nervous 
1/19/2016 1:50:57, Ted Cruz is falling in the He is People are worried about his place of birth and his failure to report his loans from 
1/14/2016 23:35:00, Donald Trump Widens His Lead in Republican Presidential 
1/13/2016 19:20:30, THANK YOU Highly respected poll just 
1/13/2016 18:23:32, RT REUTERS TRUMP CRUZ BUSH CARSON RUBIO 
1/13/2016 5:46:27, Numerous polls have me beating Hillary In a race with her voter turnout will be the highest in get most new 
1/13/2016 4:25:04, Just found out that is spending a fortune on Iowa push polls negative to Not nice but New polls are 
1/13/2016 2:56:14, New CBS 
1/12/2016 21:44:22, Another new Iowa poll just Thank 
1/11/2016 19:43:29, New Iowa Thank 
1/10/2016 18:31:47, Heading now for Reno Nevada for a big Good poll numberd all 
1/10/2016 18:28:54, In the just out Poll I easily beat Hillary Clinton and I havnt even focused on her On our MAKE AMERICA GREAT 
1/8/2016 23:12:35, Poll THANK 
1/8/2016 3:29:38, Key State Florida Trump Beats Combined 
1/6/2016 0:28:31, I am in New Just received great news from Reuters Thank you for your 
1/2/2016 12:17:12, is a low energy stiff who should focus his special interest money on the many people ahead of him in the Has no 
12/31/2015 11:01:18, Nevada Donald Trump Ted Cruz Marco Rubio via Great 
12/31/2015 10:04:36, People ask why do you tweet and to millions about when he is so low in the Because of his big hit ads on 
12/31/2015 5:10:16, has spent and is at the bottom of the I have spent almost nothing and am at the 
12/30/2015 21:22:22, Great thank you 
12/29/2015 22:53:59, New Thank you 
12/27/2015 16:34:57, Why are flunkies and two of the dumbest people in politics always on the yet 
12/25/2015 21:49:30, The same people that said I wouldnt run or that I wouldnt lead or do well place and leading by now say I wont beat 
12/25/2015 20:24:41, Remember when failed candidate said that illegals came across the border as AN ACT OF Hes spent million and is at 
12/24/2015 23:04:08, and very dishonest in not showing the new Poll where I am at higher than Be honest 
12/24/2015 22:56:55, Why isnt using the much newer Poll when discussing how well I am doing instead of the older Q CNN even 
12/24/2015 22:20:24, Wow even lowly Rand Paul has just past in the new Jeb is at Im at Stop throwing your money down the 
12/24/2015 20:02:02, Jim you fail to mention in your CNN POLL that in the GOP is leading Cruz to Detail
12/23/2015 17:20:55, It is hard to believe I am winning by so much when I am treated so badly by the New Poll amazing in ALL Lead
12/23/2015 15:49:01, treats me so Using old Quinnipiac Poll where I have a much smaller lead than the just out All 
12/23/2015 12:02:24, Big news just out NEW POLL TRUMP and leads in every major Likeability way CRUZ CARSON RUBIO 
12/23/2015 2:59:33, Wow new Reuters Poll just Big lead if you want to MAKE AMERICA GREAT TRUMP CRUZ This is at the top of 
12/22/2015 22:10:52, The Donald shouldve been named Man of the He dominates the polls news talk shows social 
12/22/2015 21:40:45, Well Im at and your at know Jeb you started over here you keep on moving further and further off Classic
12/22/2015 21:17:23, This suggests that online polls are more reliable so Trump is crushing both 
12/21/2015 11:34:54, Tell this knitwit the ppl want not him or his choice for Thts why Trump has 
12/21/2015 4:42:21, today said he didnt want to be the he would rather be where he is now That is the talk of a loser cant 
12/21/2015 4:17:30, Great poll out of Thank 
12/20/2015 23:13:09, was terrible on Face The Nation Being at and falling seems to have totally affected his A basket 
12/20/2015 3:46:26, As dominates the latest polls talk to the GOP frontrunner Sunday on 
12/19/2015 23:23:32, Thank you poll with from previous 
12/19/2015 0:36:31, NEW Trumps massive lead grows in poll 
12/19/2015 0:15:22, Another new THANK 
12/18/2015 5:09:16, New Reuters poll thank 
12/16/2015 13:49:35, Bill OReilly calls Trump and campaign In first place by 
12/16/2015 13:29:47, Thank you so many people have given me credit for winning the debate last All polls It was fun and 
12/15/2015 23:12:52, Highly respected PUBLIC POLICY POLLING just announced that I am number one in Thank 
12/15/2015 21:43:24, New PPP poll just released in up points from last Leading Dont worry media wont report 
12/15/2015 17:23:03, I won every debate so far according to all debate polls including and Too bad dopey 
12/15/2015 15:34:25, is very bad at She was totally unable to figure out the difference between me and Cruz in the new Monmouth Poll 
12/15/2015 15:30:25, the most overrated anchor at worked hard to explain away the new Monmouth poll to or pt She said 
12/15/2015 14:54:17, Why isnt anyone using the Iowa Poll with me having a big They only want to use the one negative poll press
12/15/2015 14:47:56, Isnt it amazing that paid a fortune for an Iowa Poll which shows me in first place over Cruz by to then doesnt use it
12/15/2015 14:29:02, Wow I just had two very good Iowa polls and a phenomenal just out National Poll from MAKE AMERICA GREAT 
12/15/2015 1:16:53, Why doesnt use the Iowa 
12/14/2015 17:27:42, RT JUST Donald Trump hits in new Monmouth national poll his highest national support of the election cycle 
12/14/2015 17:27:13, RT New national poll from Monmouth Trump leads the pack at Ted Marco 
12/14/2015 17:24:01, RT BREAKING surging ahead in GOP race in new national poll ahead of nearest 
12/14/2015 5:55:40, Why doesnt quote the new Iowa Poll where I have a to lead over Ted Cruz and all Think about 
12/13/2015 22:52:12, TRUMP NEEDS HIS OWN POLL A REAL POLL IN EVERY THESE POLLS ARE SO MEDIA WILL ONLY GET WORSE FROM HERE
12/13/2015 17:37:25, A very good Street Journal Poll was just released wherein I went up from last month and am in the 
12/13/2015 13:23:48, TRUMP IS WINNING BY SO MUCH MORE ITS NEAR THEY ARE ALL BIASED 
12/13/2015 4:57:25, I will be interviewed on at and Fox News Sunday with Chris Wallace at CNN Iowa Poll point 
12/12/2015 22:56:36, New CNN Iowa poll Trump Cruz Everyone else way Dont trust Des Moines Register biased towards 
12/11/2015 23:50:02, Thank We are at in new Reuters poll with coming in at Time to 
12/11/2015 20:50:09, Great news in The just out Landmark poll shows me in first with 
12/11/2015 12:45:08, is so off on Iowa which I am leading big in new I will win Also I beat Hillary 
12/11/2015 4:38:23, Time for the Republican establishment to accept the fact that Trump is not only a viable candidate but lead is real
12/11/2015 1:30:15, Respected Morning Consult poll just I lead all Republicans and beat Hillary head to head by a wide to 
12/10/2015 17:56:19, Establishment flunky is going crazy with the just released CBS poll that has me way New Fox poll has me beating 
12/10/2015 11:44:11, Wow my poll numbers have just been announced and have gone through the 
12/9/2015 13:14:17, The last person corrupt Hillary Clinton wants to run against is Donald Ill end up beating her in every New Fox 
12/9/2015 12:06:06, The failing does not mention the new Poll that has me leading Iowa by a massive points I am at Maggie Haberman 
12/9/2015 4:21:15, Great poll numbers just coming out of New BIG lead for Trump according to 
12/8/2015 23:30:17, Great new poll from Thank We need to keep this country 
12/8/2015 20:50:50, A very big poll is coming out at PM in New Will be very interested in the 
12/8/2015 19:58:54, A new poll indicates that of my supporters would vote for me if I departed the GOP ran as an 
12/8/2015 14:30:04, I wish the Wall Street Journal had reported the just out Iowa Poll I lead by a wide margin points going up 
12/8/2015 14:25:21, Just won IOWA Poll Trump Cruz Rubio but reported Cruz momentum but nothing about the fact that I easily 
12/8/2015 3:41:28, RT New Iowa poll finds in the lead by double 
12/8/2015 3:27:56, Today New Iowa poll finds Trump in the lead by double digits 
12/8/2015 3:22:27, Just released Poll gives me a big point lead in Change your false story failing Thank you 
12/7/2015 21:42:24, I am especially grateful for the tremendous support I have received from the Evangelicals in the just out Iowa CNN Thank 
12/7/2015 21:42:05, I am greatly honored by the results of the CNN poll in In the end I believe the final results will be even better than 
12/6/2015 14:55:01, Poll numbers will go up even more for after Obamas address
12/5/2015 3:36:46, Donald Trump opens up massive lead in national poll 
12/4/2015 14:41:38, Please thank Alisyn Camerota David Chalian and John King for the very professional reporting of the new CNN 
12/4/2015 13:24:20, Poll just came out amazing numbers for those who want to MAKE AMERICA GREAT TRUMP a point lead over 
12/3/2015 12:21:38, The retired neurosurgeon plummets points from last month while Trump solidifies his dominating lead 
12/3/2015 11:41:44, his poll numbers jump every time instances like this 
12/2/2015 20:19:22, I beat Hillary in the new Poll head to SHE HAS NO STRENGTH OR STAMINA both of which are needed to MAKE AMERICA GREAT 
12/1/2015 20:47:17, You would think a paper like the Washington Post would be fair and For the record almost all polls showed I won all 
11/30/2015 15:23:33, The Republican establishment out of self preservation is concerned my high poll More concerned are beat Hillary heads 
11/27/2015 23:21:02, Pollster Trend National GOP Average national polls 
11/27/2015 8:33:21, Donald Trump Rises to Ted Cruz Edges into at 
11/26/2015 21:34:25, Great new poll Thank you for your 
11/24/2015 22:57:14, New national poll Thank you 
11/22/2015 18:26:13, Great poll Thank 
11/22/2015 14:50:56, Great poll numbers all over and beating Hillary Clinton one on Thank 
11/22/2015 12:33:23, Big new Poll to be announced at on This Week with I will be interviewed on 
11/22/2015 12:26:36, just announced that I am leading BIG in the new Poll which will be shown on This Week at I will be on show
11/21/2015 23:40:44, Donald Trump retakes lead in GOP Ted Cruz makes via AOL
11/21/2015 15:32:52, RT extends lead in Reuters 
11/20/2015 1:05:35, John Kasich despite being Governor of Ohio is losing to me in the Ohio 
11/18/2015 23:53:43, New Hampshire Rules GOP Race in New Trump Rubio Cruz Bush Carson Kasich 
11/18/2015 19:23:18, Via Trump Extends Lead in New Hampshire Poll 
11/18/2015 16:57:58, Great New Poll 
11/17/2015 13:14:52, So many great polls like Reuters big leads New Hampshire really We will win big and MAKE AMERICA GREAT 
11/17/2015 2:16:36, Great poll numbers out of Thank 
11/15/2015 22:54:31, Donald Trump surges in poll among likely Republican voters 
11/15/2015 4:00:48, Trump Surges to News for Marco Great 
11/15/2015 3:21:10, Great news out of New DonaldTrump is pulling away from the pack is behind 
11/13/2015 19:42:05, REUTERS ROLLING TRUMP CARSON RUBIO CRUZ Thank you a great 
11/12/2015 20:38:00, From to in Texas quite a jump into first 
11/12/2015 11:16:31, All seven polls including Drudge and Time with thousands of respondents said I won the said I was so 
11/11/2015 10:50:13, Loved doing the Drudge and all Amazing evening moderators did an outstanding 
11/10/2015 6:00:01, It shouldnt be ignored and I doubt it will be Carson will drop in 
11/7/2015 3:23:44, THIS IS WHY THE POLLS ARE I am a lifelong And I will be voting 
11/7/2015 0:07:28, Would be nice if learned how to read the polls before writing his next Probably done on purpose but not good 
11/6/2015 18:05:06, GREAT Which of these Polls is Kudos to 
11/6/2015 9:58:05, lead in Reuters National poll 
11/6/2015 9:37:59, Interesting presidential Carson tries to beat his mom with a hammer and beats Carson in the 
11/6/2015 9:28:18, A great honor to easily finish FIRST in the poll tabulation even though some of my best polls were not used in determining 
11/6/2015 9:21:38, Wow You openly LIE about whos ahead in the GOP Trump is LEADING in of 
11/5/2015 9:23:48, poll numbers are higher then most think no one is asking Democrats if they are voting Trump
11/4/2015 23:18:58, poll just came with Almost as importantly I am the strongest on economic issues by 
11/4/2015 13:28:10, Isnt it terrible that used a poll not used before when I was down but refuses to use it now when I am 
11/3/2015 14:51:44, The polls are for the news Trump is miles ahead and leaving all others in the dust dont doubt me
11/3/2015 14:44:06, I Trust s polls They are actually really Fair and really balanced on all their news Iowa 
11/3/2015 13:40:32, Latest poll of Florida voters shows enormous lead for Hed beat 
11/2/2015 18:31:09, used this poll else when I was if use it now that 
11/2/2015 18:21:51, Why you use new polls instead of the single ancient national poll that was a tiny bit Dishonest 
11/2/2015 12:26:50, Online best to handle economy by far Very true 
11/2/2015 12:24:05, Marco only won the debate in the minds of desperate I won every poll even crazy Marco good 
11/2/2015 1:54:57, Thank you for the nice and true words on Buzz with terrific Howie Leading New Hampshire to 
11/1/2015 2:48:52, Trump Leads GOP Carson Stays Strong Rubio Poll 
10/31/2015 22:34:30, Leading big Nationwide in Reuters poll 
10/31/2015 22:24:19, Thank you James Freeman of the for the very nice All polls said I won the debate except NBC Explain to Daniel 
10/31/2015 14:25:26, surges in Trump puts US and foremost 
10/31/2015 12:18:35, The new NBC POLL has me in first place but said I was third in the debate I demand a recount EVERY other poll had me 
10/31/2015 3:52:11, Arizona polls for Democrats only say they would prefer Donald Trump over Hillary Clinton 
10/31/2015 3:23:14, Republican is support for Carson is Poll used by last month
10/31/2015 1:14:20, Everyone under in polls should DROP OUT and support TRUMP Great 
10/30/2015 19:30:28, Donald Trump Leads Polls in Florida 
10/30/2015 16:49:38, Thank you for explaining to and and so many others that I am leading in almost all national state 
10/30/2015 2:26:03, Loved doing the debate last night on Check out all of the Everyone agrees that Harwood 
10/30/2015 1:59:22, My interview on with had a ratings increase over same Sunday last over last 
10/29/2015 15:21:06, CNBC Trump won 
10/29/2015 14:42:01, TRUMP WINS CNBC INSTANT RUBIO 
10/29/2015 13:15:53, they should just let you be president already youre already leading in the 
10/29/2015 10:51:04, said that won Debate Vote your 
10/29/2015 10:49:47, Gravis Marketing Poll 
10/29/2015 7:22:01, came out as a clear winner in the polls yet Next we need max candidates too many on the 
10/29/2015 6:20:28, The poll closed with declared the official 
10/29/2015 6:19:36, showing why he should be our next Tremendous Winning all the post Debate 
10/29/2015 5:58:00, Drudge Poll on who won the Thank 
10/29/2015 5:53:20, Thank you An honor to win 
10/29/2015 3:27:43, The poll closed with declared the official Thank 
10/29/2015 3:20:13, Thanks everyone they all said I won the Even won the 
10/28/2015 23:26:15, Via Trump still in the lead by a whopping points after fluke survey had put Carson on 
10/28/2015 20:10:46, POLL TRUMP CARSON RUBIO 
10/28/2015 18:22:36, Poll one of the most highly respected was just Wow wait until the media digests these numbers wont be 
10/28/2015 17:51:07, Im sure the media will not report the highly respected new national poll that just came out via The 
10/28/2015 15:47:14, get your polls Trump is going to He is the only one tough enough to run this 
10/28/2015 15:45:58, is trying to drive down poll numbers to install Carson who the Establishment GOP will promptly Win Don 
10/28/2015 15:32:17, Does anybody think that will get their fictitious polling numbers corrected sometime prior to the start of the 
10/28/2015 15:01:42, continues to report fictious poll Number one based on every statistic is Trump a wide They just cant say 
10/28/2015 12:46:44, Debate is behind you National Lead TRUMP CARSON 
10/28/2015 3:18:32, A lot of people I know are voting Trump in NC none have been polled your lead is bigger than anyone can 
10/27/2015 21:46:46, Just out wonderful poll in North 
10/27/2015 19:01:52, composite national poll 
10/27/2015 18:59:41, WTG GREAT U R THE BEST PICK OUT OF ALL OF THE CANDIDATES OHIO KNOWS THIS IS WHY U R LEADING THERE TOO
10/27/2015 18:25:57, National GOP Presidential Poll via 
10/27/2015 16:14:20, Trumps National Lead Increases to Going into the Third GOP Debate its Trump Carson and Rubio 
10/27/2015 14:43:37, New Gravis national poll just out Very 
10/27/2015 12:02:51, Why not post the other polls where Trump has percent and Carson is in the 
10/26/2015 19:04:57, RT New poll shows and are tied atop the field in 
10/26/2015 0:06:43, Leaving for New Hampshire Will be doing the there live at New Poll of New Trump Carson 
10/25/2015 19:21:35, Latest Poll shows Donald Trump winning of Electoral Vote Against Hillary 
10/25/2015 19:20:11, WAY ahead in all the polls that TRUMP FOR PRESIDENT
